Education_Sector,Entity_Type,School_Number,School_Name,School_Type,School_Status,Address,Address_Town,Address_State,Address_Postcode,Postal Address,Postal_Town,State Code,Postal_Postcode,Phone Number,LGA_ID,LGA_Name,Latitude,Longitude
Government,1,1,Alberton Primary School,Primary,O,21 Thomson Street ,Alberton,VIC,3971,21 Thomson Street,Alberton,VIC,3971,(035) 183-2412,681,Wellington (S),146.666601,-38.617713
Government,1,3,Allansford and District Primary School,Primary,O,Frank Street ,Allansford,VIC,3277,Frank Street,Allansford,VIC,3277,(035) 565-1382,673,Warrnambool (C),142.590393,-38.386281
Government,1,4,Avoca Primary School,Primary,O,118 Barnett Street ,Avoca,VIC,3467,P O Box 12,Avoca,VIC,3467,(035) 465-3176,599,Pyrenees (S),143.475649,-37.084502
Government,1,8,Avenel Primary School,Primary,O,40 Anderson Street ,Avenel,VIC,3664,40 Anderson Street,Avenel,VIC,3664,(035) 796-2264,643,Strathbogie (S),145.234722,-36.901368
Government,1,12,Warrandyte Primary School,Primary,O,5-11 Forbes Street ,Warrandyte,VIC,3113,5-11 Forbes Street,Warrandyte,VIC,3113,(039) 844-3537,421,Manningham (C),145.21398,-37.742675
Government,1,26,Belmont Primary School,Primary,O,51 Mt Pleasant Road ,Belmont,VIC,3216,P O Box 471,Belmont,VIC,3216,(035) 243-2972,275,Greater Geelong (C),144.342099,-38.170672
Government,1,28,Bacchus Marsh Primary School,Primary,O,56-62 Lerderderg Street ,Bacchus Marsh,VIC,3340,P O Box 334,Bacchus Marsh,VIC,3340,(035) 367-2745,515,Moorabool (S),144.4431207,-37.67302961
Government,1,33,Ballarat Primary School (Dana Street),Primary,O,401 Dana Street ,Ballarat,VIC,3350,401 Dana Street,Ballarat,VIC,3350,(035) 332-1301,57,Ballarat (C),143.853936,-37.56401278
Government,1,37,Wodonga Primary School,Primary,O,Brockley Street ,Wodonga,VIC,3690,PO Box 329,Wodonga,VIC,3689,(026) 048-0300,717,Wodonga (C),146.88982,-36.129214
Government,1,40,Berwick Primary School,Primary,O,37 Fairholme Boulevard ,Berwick,VIC,3806,37 Fairholme Boulevard,Berwick,VIC,3806,(039) 707-1026,161,Casey (C),145.353743,-38.044178
Government,1,60,Beaufort Primary School,Primary,O,2/37 Park Road ,Beaufort,VIC,3373,P O Box 18,Beaufort,VIC,3373,(035) 349-2490,599,Pyrenees (S),143.3817175,-37.43852098
Government,1,84,Cheltenham Primary School,Primary,O,231 Charman Road ,Cheltenham,VIC,3192,231 Charman Road,Cheltenham,VIC,3192,(038) 585-3200,91,Bayside (C),145.054635,-37.968608
Government,1,105,Cudgee Primary School,Primary,O,3 Hallowells Road ,Cudgee,VIC,3265,3 Hallowells Road,Cudgee,VIC,3265,(035) 567-6346,549,Moyne (S),142.650844,-38.347938
Government,1,113,Newport Lakes Primary School,Primary,O,Elizabeth Street ,Newport,VIC,3015,Elizabeth Street,Newport,VIC,3015,(039) 391-8942,311,Hobsons Bay (C),144.878345,-37.838424
Government,1,116,Cavendish Primary School,Primary,O,8-10 Barker Street ,Cavendish,VIC,3314,P O Box 28,Cavendish,VIC,3314,(035) 574-2282,626,Southern Grampians (S),142.039893,-37.53087
Government,1,117,Colac Primary School,Primary,O,53-65 Murray Street East ,Colac,VIC,3250,P O Box 325,Colac,VIC,3250,(035) 231-2560,175,Colac-Otway (S),143.598336,-38.337224
Government,1,119,Castlemaine Primary School,Primary,O,Cnr Mostyn & Urquhart Street ,Castlemaine,VIC,3450,P O Box 448,Castlemaine,VIC,3450,(035) 472-1452,543,Mount Alexander (S),144.222329,-37.066595
Government,1,120,Campbells Creek Primary School,Primary,O,Main Road ,Campbells Creek,VIC,3451,Main Road,Campbells Creek,VIC,3451,(035) 472-2180,543,Mount Alexander (S),144.204662,-37.092935
Government,1,122,Creswick Primary School,Primary,O,67 Napier Street ,Creswick,VIC,3363,P O Box 67,Creswick,VIC,3363,(035) 345-2044,291,Hepburn (S),143.8915581,-37.42411355
